time_s,time_days,time_years,Tout_degC,power_W,cumulative_energy_J,cumulative_energy_MWh
0.0,0.0,0.0,37.48721128106425,962052.3948372487,0.0,0.0
86400.0,1.0,0.0027397260273972603,26.507237606147342,577753.3162151569,66519606717.46392,18.47766853262887
172800.0,2.0,0.005479452054794521,23.661124446481686,478139.355626859,112134170141.039,31.148380594733055
259200.0,3.0,0.00821917808219178,22.525480587766936,438391.8205718427,151728316952.8229,42.146754709117474
345600.0,4.0,0.010958904109589041,21.899404730594355,416479.16557080246,188658743554.18518,52.40520654282922
432000.0,5.0,0.0136986301369863,21.484056794611234,401941.9878113932,224014537380.29602,62.226260383415564
518400.0,6.0,0.01643835616438356,21.17849611954676,391247.3641841366,258280317386.5029,71.74453260736192
604800.0,7.0,0.019178082191780823,20.939160852463726,382870.6298362304,291722214728.18274,81.03394853560631
691200.0,8.0,0.021917808219178082,20.74375029073633,376031.26017577155,324506776376.70123,90.14077121575035
777600.0,9.0,0.024657534246575342,20.579433663381913,370280.1782183669,356747430515.328,99.09650847648
864000.0,10.0,0.0273972602739726,20.438192833744164,365336.74918104574,388526081778.9826,107.92391160527295
950400.0,11.0,0.030136986301369864,20.314701614392693,361014.5565037442,419904458184.56555,116.64012727349044
1036800.0,12.0,0.03287671232876712,20.20525209586003,357183.823355101,450930628194.46765,125.25850783179656
1123200.0,13.0,0.03561643835616438,20.10716523287844,353750.7831507454,481643003195.5202,133.7897231098667
1209600.0,14.0,0.038356164383561646,20.01844604395882,350645.61153855873,512072927446.09814,142.24247984613837
1296000.0,15.0,0.0410958904109589,19.937571315813976,347814.99605348916,542246425694.0746,150.62400713724293
1382400.0,16.0,0.043835616438356165,19.86335326970574,345217.3644397009,572185423667.3804,158.94039546316122
1468800.0,17.0,0.04657534246575343,19.794848866584864,342819.71033047023,601908625297.4518,167.19684036040329
1555200.0,18.0,0.049315068493150684,19.73129763468514,340595.41721397993,631432158807.3721,175.39782189093668
1641600.0,19.0,0.052054794520547946,19.672077935023893,338522.7277258363,660770062668.7721,183.54723963021448
1728000.0,20.0,0.0547945205479452,19.616675496704094,336583.64238464326,689934657857.5448,191.64851607154023
1814400.0,21.0,0.057534246575342465,19.564660328068026,334763.1114823809,718936837624.6002,199.7046771179445
1900800.0,22.0,0.06027397260273973,19.515669474852395,333048.4316198338,747786296286.6158,207.71841563517106
1987200.0,23.0,0.06301369863013699,19.469393942020773,331428.787970727,776491712172.9281,215.69214227025782
2073600.0,24.0,0.06575342465753424,19.425568633923092,329894.90218730824,805060895587.7552,223.62802655215424
2160000.0,25.0,0.0684931506849315,19.383964517208245,328438.7581022886,833500909712.2659,231.5280304756294
2246400.0,26.0,0.07123287671232877,19.34438244523003,327053.385583051,861818170319.4725,239.39393619985347
2332800.0,27.0,0.07397260273972603,19.30664824041508,325732.68841452774,890018528716.168,247.22736908782443
2419200.0,28.0,0.07671232876712329,19.27060874023871,324471.3059083549,918107341270.9165,255.02981701969904
2505600.0,29.0,0.07945205479452055,19.23612859042423,323264.500664848,946089528114.8789,262.80264669857746
2592000.0,30.0,0.0821917808219178,19.203087622687733,322108.06679407065,973969623029.1042,270.5471175080845
2678400.0,31.0,0.08493150684931507,19.171378693980756,320998.2542893265,1001751816099.907,278.2643933610853
2764800.0,32.0,0.08767123287671233,19.140905894273374,319931.70629956806,1029439990397.3472,285.955552888152
2851200.0,33.0,0.09041095890410959,19.111583049662848,318905.40673819964,1057037753680.5787,293.6215982446052
2937600.0,34.0,0.09315068493150686,19.083332464918332,317916.6362721416,1084548465938.6255,301.2634627607293
3024000.0,35.0,0.0958904109589041,19.056083861127085,316962.935139448,1111975263423.6062,308.8820176176684
3110400.0,36.0,0.09863013698630137,19.0297734732576,316042.071564016,1139321079713.1958,316.4780776981099
3196800.0,37.0,0.10136986301369863,19.004343279942134,315152.01479797467,1166588664244.0337,324.0524067344538
3283200.0,38.0,0.10410958904109589,18.979740342892942,314290.912001253,1193780598681.7603,331.6057218560445
3369600.0,39.0,0.10684931506849316,18.95591623778818,313457.0683225863,1220899311431.75,339.13869761993055
3456000.0,40.0,0.1095890410958904,18.93282656219859,312648.9296769506,1247947090545.33,346.65196959592504
3542400.0,41.0,0.11232876712328767,18.910430507999944,311865.06777999806,1274926095235.4702,354.14613756540837
3628800.0,42.0,0.11506849315068493,18.888690488885445,311104.16711099056,1301838366182.761,361.6217683841003
3715200.0,43.0,0.1178082191780822,18.867571814396896,310365.01350389136,1328685834785.324,369.0793985514789
3801600.0,44.0,0.12054794520547946,18.84704240387824,309646.48413573846,1355470331483.356,376.51953652315444
3888000.0,45.0,0.1232876712328767,18.82707253460793,308947.53871127754,1382193593270.3472,383.9426647973187
3974400.0,46.0,0.12602739726027398,18.807634619340263,308267.2116769092,1408857270487.117,391.3492418019769
4060800.0,47.0,0.12876712328767123,18.78870300926911,307604.60532441887,1435462932981.5742,398.7397036059928
4147200.0,48.0,0.13150684931506848,18.770253819035336,306958.88366623677,1462012075705.9705,406.11446547388067
4233600.0,49.0,0.13424657534246576,18.752264770827605,306329.2669789662,1488506123813.8433,413.4739232816231
4320000.0,50.0,0.136986301369863,18.73471505525131,305715.0269337959,1514946437310.8745,420.81845480857623
4406400.0,51.0,0.13972602739726028,18.7175852068419,305115.4822394665,1541334315307.1594,428.1484209186554
4492800.0,52.0,0.14246575342465753,18.700856992224676,304529.99472786364,1567670999912.1482,435.46416664226336
4579200.0,53.0,0.14520547945205478,18.684513309805062,303957.96584317717,1593957679808.8171,442.7660221691159
4665600.0,54.0,0.14794520547945206,18.66853809919078,303398.8334716773,1620195493539.2188,450.0543037608941
4752000.0,55.0,0.1506849315068493,18.652916259509038,302852.0690828163,1646385532529.5728,457.329314591548
4838400.0,56.0,0.15342465753424658,18.63763357552543,302317.1751433901,1672528843880.1448,464.59134552226243
4924800.0,57.0,0.15616438356164383,18.622676650593547,301793.6827707742,1698626432942.0366,471.8406758172324
5011200.0,58.0,0.1589041095890411,18.60803284592419,301281.1496073466,1724679265700.7715,479.0775738057699
5097600.0,59.0,0.16164383561643836,18.593690225179415,300779.15788127953,1750688270984.28,486.30229749563335
5184000.0,60.0,0.1643835616438356,18.579637504086097,300287.3126430134,1776654342510.9294,493.51509514192486
5270400.0,61.0,0.16712328767123288,18.565864004477763,299805.24015672173,1802578340791.878,500.71620577552164
5356800.0,62.0,0.16986301369863013,18.55235961217293,299332.5864260525,1828461094900.2537,507.9058596945149
5443200.0,63.0,0.1726027397260274,18.539114738534607,298869.01584871125,1854303404118.5234,515.084278921812
5529600.0,64.0,0.17534246575342466,18.52612028515258,298414.20998034027,1880106039474.3384,522.2516776317607
5616000.0,65.0,0.1780821917808219,18.513367611450512,297967.86640076793,1905869745174.0022,529.4082625483339
5702400.0,66.0,0.18082191780821918,18.50084850485719,297529.6976700016,1931595239941.8594,536.5542333171832
5788800.0,67.0,0.18356164383561643,18.488555153439357,297099.4303703775,1957283218273.2039,543.6897828536678
5875200.0,68.0,0.1863013698630137,18.47648012056168,296676.8042196587,1982934351607.4934,550.8150976687482
5961600.0,69.0,0.18904109589041096,18.464616321581214,296261.5712553425,2008549289428.0134,557.9303581744482
6048000.0,70.0,0.1917808219178082,18.45295700226389,295853.49507923616,2034128660293.6672,565.0357389704632
6134400.0,71.0,0.19452054794520549,18.441495718844404,295452.35015955416,2059673072807.983,572.1314091133286
6220800.0,72.0,0.19726027397260273,18.430226319540186,295057.9211839065,2085183116530.0205,579.2175323694502
6307200.0,73.0,0.2,18.419142927399548,294670.0024589842,2110659362831.3933,586.2942674531648
6393600.0,74.0,0.20273972602739726,18.408239924412545,294288.3973544391,2136102365703.3333,593.3617682509259
6480000.0,75.0,0.2054794520547945,18.39751193671842,293912.9177851447,2161512662517.3633,600.4201840326009
6566400.0,76.0,0.20821917808219179,18.386953820838826,293543.3837293589,2186890774742.7898,607.4696596507749
6652800.0,77.0,0.21095890410958903,18.376560650915668,293179.62278204836,2212237208624.0825,614.5103357289119
6739200.0,78.0,0.2136986301369863,18.366327706713342,292821.469734967,2237552455820.8174,621.5423488391159
6825600.0,79.0,0.21643835616438356,18.356250462524812,292468.76618836843,2262836994012.7056,628.565831670196
6912000.0,80.0,0.2191780821917808,18.346324576748547,292121.36018619913,2288091287472.087,635.5809131866909
6998400.0,81.0,0.2219178082191781,18.336545882221593,291779.10587775573,2313315787606.05,642.5877187794583
7084800.0,82.0,0.22465753424657534,18.326910377067165,291441.86319735076,2338510933470.094,649.5863704083595
7171200.0,83.0,0.2273972602739726,18.317414216206537,291109.4975672288,2363677152255.124,656.5769867375344
7257600.0,84.0,0.23013698630136986,18.30805370338948,290781.8796186318,2388814859749.553,663.5596832637648
7344000.0,85.0,0.2328767123287671,18.298825283708123,290458.8849297843,2413924460778.045,670.5345724383458
7430400.0,86.0,0.2356164383561644,18.289725536604752,290140.39378116635,2439006349618.358,677.5017637828772
7516800.0,87.0,0.23835616438356164,18.280751169229934,289826.2909230477,2464060910397.58,684.4613639993278
7603200.0,88.0,0.2410958904109589,18.271899010285576,289516.46535999514,2489088517469.0073,691.4134770747243
7689600.0,89.0,0.24383561643835616,18.26316600419209,289210.8101467232,2514089535770.8975,698.3582043808049
7776000.0,90.0,0.2465753424657534,18.254549205597108,288909.22219589876,2539064321168.0986,705.2956447689163
7862400.0,91.0,0.2493150684931507,18.246045774200375,288611.60209701315,2564013220777.5522,712.2258946604312
7948800.0,92.0,0.25205479452054796,18.237652969894516,288317.853946308,2588936573278.6235,719.149048132951
8035200.0,93.0,0.2547945205479452,18.22936814817897,288027.88518626394,2613834709209.151,726.0651970025419
8121600.0,94.0,0.25753424657534246,18.221188755802537,287741.6064530888,2638707951247.9707,732.9744309022141
8208000.0,95.0,0.2602739726027397,18.213112326680204,287458.9314338071,2663556614484.6846,739.8768373568569
8294400.0,96.0,0.26301369863013696,18.205136478032475,287179.77673113666,2688381006677.41,746.7725018548362
8380800.0,97.0,0.26575342465753427,18.1972589067164,286904.061735074,2713181428499.1504,753.6615079164307
8467200.0,98.0,0.2684931506849315,18.189477385759815,286631.70850159356,2737958173773.3745,760.5439371592707
8553600.0,99.0,0.27123287671232876,18.181789761097637,286362.64163841726,2762711529699.423,767.4198693609508
8640000.0,100.0,0.273972602739726,18.1741939484521,286096.7881958235,2787441777068.262,774.2893825189617
8726400.0,101.0,0.27671232876712326,18.166687930404905,285834.0775641717,2812149190469.094,781.1525529080817
8812800.0,102.0,0.27945205479452057,18.159269753592866,285574.44137575035,2836834038487.299,788.0094551353608
8899200.0,103.0,0.2821917808219178,18.15193752607547,285317.8134126415,2861496583894.157,794.8601621928215
8985600.0,104.0,0.28493150684931506,18.14468941481345,285064.1295184707,2886137083828.7812,801.7047455079947
9072000.0,105.0,0.2876712328767123,18.13752364327447,284813.32751460647,2910755789972.6104,808.5432749923917
9158400.0,106.0,0.29041095890410956,18.130438489180158,284565.34712130553,2935352948716.882,815.3758190880227
9244800.0,107.0,0.29315068493150687,18.12343228234338,284320.1298820183,2959928801323.4253,822.2024448120626
9331200.0,108.0,0.2958904109589041,18.116503402615677,284077.6190915487,2984483584079.0835,829.0232177997455
9417600.0,109.0,0.29863013698630136,18.10965027792896,283837.7597275136,3009017528444.067,835.8382023455741
9504000.0,110.0,0.3013698630136986,18.102871382456595,283600.49838598084,3033530861194.57,842.6474614429361
9590400.0,111.0,0.3041095890410959,18.096165234817494,283365.7832186123,3058023804559.888,849.4510568221912
9676800.0,112.0,0.30684931506849317,18.089530396407287,283133.56387425505,3082496576354.3003,856.2490489873056
9763200.0,113.0,0.3095890410958904,18.08296546977777,282903.7914422219,3106949390103.972,863.0414972511034
9849600.0,114.0,0.31232876712328766,18.076469097121088,282676.4183992381,3131382455169.123,869.8284597692009
9936000.0,115.0,0.3150684931506849,18.07003995877281,282451.39855704835,3155795976861.635,876.6099935726763
10022400.0,116.0,0.3178082191780822,18.063676771857626,282228.6870150169,3180190156558.348,883.3861545995411
10108800.0,117.0,0.32054794520547947,18.05737828891531,282008.2401120358,3204565191810.237,890.1569977250658
10195200.0,118.0,0.3232876712328767,18.051143296647613,281790.01538266643,3228921276447.608,896.9225767910021
10281600.0,119.0,0.32602739726027397,18.044970614689813,281573.97151414346,3253258600681.5503,903.682944633764
10368000.0,120.0,0.3287671232876712,18.03885909445543,281360.06830594,3277577351201.778,910.438153111605
10454400.0,121.0,0.3315068493150685,18.032807618006647,281148.2666302326,3301877711271.0205,917.188253130839
10540800.0,122.0,0.33424657534246577,18.026815097006804,280938.5283952381,3326159860816.1206,923.9332946711446
10627200.0,123.0,0.336986301369863,18.020880471674033,280730.8165085912,3350423976515.966,930.6733268099905
10713600.0,124.0,0.33972602739726027,18.015002709829073,280525.0948440175,3374670231886.3984,937.4083977462218
10800000.0,125.0,0.3424657534246575,18.009180805939373,280321.32820787805,3398898797362.24,944.1385548228445
10886400.0,126.0,0.3452054794520548,18.003413780234833,280119.4823082192,3423109840376.5356,950.8638445490377
10972800.0,127.0,0.34794520547945207,17.997700677845874,279919.52372460556,3447303525437.154,957.5843126214316
11059200.0,128.0,0.3506849315068493,17.99204056796494,279721.41987877287,3471480014200.82,964.3000039446722
11145600.0,129.0,0.35342465753424657,17.986432543066396,279525.1390073239,3495639465544.699,971.0109626513054
11232000.0,130.0,0.3561643835616438,17.980875718157016,279330.6501354955,3519782035635.669,977.7172321210192
11318400.0,131.0,0.3589041095890411,17.97536923001465,279137.92305051273,3543907877997.3047,984.4188549992513
11404800.0,132.0,0.36164383561643837,17.969912236525378,278946.9282783882,3568017143574.7134,991.1158732151981
11491200.0,133.0,0.3643835616438356,17.96450391598463,278757.637059462,3592109980797.3086,997.8083279992524
11577600.0,134.0,0.36712328767123287,17.959143466470092,278570.0213264532,3616186535639.58,1004.4962598998834
11664000.0,135.0,0.3698630136986301,17.953830105202787,278384.0536820975,3640246951679.9497,1011.179708799986
11750400.0,136.0,0.3726027397260274,17.948563067962688,278199.7073786941,3664291370157.776,1017.8587139327155
11836800.0,137.0,0.37534246575342467,17.94334160851303,278016.95629795606,3688319930028.607,1024.5333138968354
11923200.0,138.0,0.3780821917808219,17.938164998047792,277835.7749316727,3712332768017.727,1031.2035466715909
12009600.0,139.0,0.38082191780821917,17.93303252464922,277656.1383627227,3736330018672.045,1037.8694496311236
12096000.0,140.0,0.3835616438356164,17.927943492798004,277478.0222479302,3760311814410.4253,1044.5310595584515
12182400.0,141.0,0.3863013698630137,17.922897222864357,277301.4028002525,3784278285572.507,1051.1884126590296
12268800.0,142.0,0.38904109589041097,17.91789305063186,277126.2567721151,3808229560466.033,1057.841544573898
12355200.0,143.0,0.3917808219178082,17.91293032685726,276952.5614400041,3832165765412.797,1064.4904903924437
12441600.0,144.0,0.39452054794520547,17.90800841682089,276780.2945887312,3856087024793.2383,1071.1352846647885
12528000.0,145.0,0.3972602739726027,17.90312669988875,276609.4344961063,3879993461089.703,1077.7759614138065
12614400.0,146.0,0.4,17.898284569133956,276439.95991968847,3903885194928.4653,1084.4125541467959
12700800.0,147.0,0.40273972602739727,17.893481430917298,276271.85008210543,3927762345120.543,1091.0450958668175
12787200.0,148.0,0.4054794520547945,17.888716704509267,276105.08465782437,3951625028701.308,1097.6736190836966
12873600.0,149.0,0.40821917808219177,17.88398982174163,275939.643760957,3975473360968.9995,1104.298155824722
12960000.0,150.0,0.410958904109589,17.879300226633866,275775.5079321853,3999307455522.143,1110.9187376450398
13046400.0,151.0,0.4136986301369863,17.87464737505354,275612.65812687395,4023127424295.8945,1117.5353956377485
13132800.0,152.0,0.41643835616438357,17.870030734399805,275451.07570399315,4046933377597.388,1124.148160443719
13219200.0,153.0,0.4191780821917808,17.86544978326853,275290.7424143986,4070725424140.1025,1130.7570622611395
13305600.0,154.0,0.42191780821917807,17.86090401115473,275131.64039041556,4094503671077.2705,1137.3621308547974
13392000.0,155.0,0.4246575342465753,17.856392918152288,274973.75213533005,4118268224034.383,1143.9633955651063
13478400.0,156.0,0.4273972602739726,17.85191601466347,274817.0605132214,4142019187140.8003,1150.560885316889
13564800.0,157.0,0.4301369863013699,17.847472821131284,274661.54873959493,4165756663060.522,1157.1546286279229
13651200.0,158.0,0.4328767123287671,17.84306286774866,274507.20037120313,4189480753022.1084,1163.7446536172524
13737600.0,159.0,0.43561643835616437,17.83868569422976,274353.99929804157,4213191556847.82,1170.3309880132833
13824000.0,160.0,0.4383561643835616,17.834340849532634,274201.9297336422,4236889172981.989,1176.9136591616636
13910400.0,161.0,0.4410958904109589,17.83002789162662,274050.97620693175,4260573698518.6216,1183.4926940329503
13996800.0,162.0,0.4438356164383562,17.825746387259745,273901.1235540911,4284245229228.298,1190.0681192300826
14083200.0,163.0,0.4465753424657534,17.821495911728096,273752.3569104834,4307903859584.3677,1196.6399609956577
14169600.0,164.0,0.44931506849315067,17.817276048643546,273604.6617025241,4331549682788.4497,1203.2082452190139
14256000.0,165.0,0.4520547945205479,17.81308638974944,273458.0236412304,4355182790795.3,1209.7729974431388
14342400.0,166.0,0.4547945205479452,17.80892653468505,273312.42871397675,4378803274337.045,1216.3342428714013
14428800.0,167.0,0.4575342465753425,17.80479609079766,273167.8631779181,4402411222946.774,1222.892006374104
14515200.0,168.0,0.4602739726027397,17.800694672950367,273024.31355326285,4426006724981.562,1229.4463124948782
14601600.0,169.0,0.46301369863013697,17.796621903329797,272881.7666165429,4449589867644.897,1235.997185456916
14688000.0,170.0,0.4657534246575342,17.792577411267168,272740.2093943509,4473160737008.568,1242.5446491690468
14774400.0,171.0,0.4684931506849315,17.7885608330579,272599.62915702653,4496719418033.988,1249.0887272316634
14860800.0,172.0,0.4712328767123288,17.784571811796074,272460.01341286255,4520265994593.008,1255.6294429425022
14947200.0,173.0,0.473972602739726,17.780609997198628,272321.34990195197,4543800549488.208,1262.16681930228
15033600.0,174.0,0.4767123287671233,17.776675045460635,272183.62659112224,4567323164472.709,1268.700879020197
15120000.0,175.0,0.4794520547945205,17.77276661907854,272046.83166774886,4590833920269.492,1275.2316445193035
15206400.0,176.0,0.4821917808219178,17.76888438671889,271910.9535351612,4614332896590.258,1281.7591379417383
15292800.0,177.0,0.4849315068493151,17.765028023054963,271775.9808069237,4637820172153.836,1288.2833811538433
15379200.0,178.0,0.4876712328767123,17.761197208636897,271641.9023022914,4661295824704.154,1294.804395751154
15465600.0,179.0,0.4904109589041096,17.757391629740525,271508.70704091835,4684759931027.781,1301.3222030632726
15552000.0,180.0,0.4931506849315068,17.753610978247576,271376.38423866517,4708212566971.06,1307.8368241586277
15638400.0,181.0,0.4958904109589041,17.749854951497923,271244.9233024273,4731653807456.835,1314.348279849121
15724800.0,182.0,0.4986301369863014,17.746123252177107,271114.31382619875,4755083726500.792,1320.8565906946644
